Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
TATAMOTORS,09-Jul-2024,26-Sep-2024,1020.05,1034.40,1017.65,1031.10,1030.30,1031.10,392.00,2216.56,344300.00,1650.00,1014.95
TATAMOTORS,10-Jul-2024,25-Jul-2024,1018.50,1023.25,988.10,1007.25,1007.60,1007.25,38833.00,215283.96,58744950.00,-2132900.00,1005.50
TATAMOTORS,10-Jul-2024,29-Aug-2024,1024.15,1029.00,994.30,1013.05,1013.60,1013.05,3239.00,18044.99,5092450.00,186450.00,1005.50
TATAMOTORS,10-Jul-2024,26-Sep-2024,1027.40,1035.40,1001.00,1019.90,1020.70,1019.90,482.00,2710.89,382250.00,37950.00,1005.50
TATAMOTORS,11-Jul-2024,25-Jul-2024,1010.05,1026.55,1009.90,1022.95,1024.90,1022.95,35827.00,201359.50,55898700.00,-2846250.00,1020.80
TATAMOTORS,11-Jul-2024,29-Aug-2024,1016.40,1032.85,1015.40,1029.05,1030.30,1029.05,3536.00,19988.10,5190900.00,98450.00,1020.80
TATAMOTORS,11-Jul-2024,26-Sep-2024,1026.00,1038.15,1024.30,1036.10,1037.30,1036.10,428.00,2434.25,363550.00,-18700.00,1020.80
TATAMOTORS,12-Jul-2024,25-Jul-2024,1023.00,1028.20,1017.00,1019.90,1020.70,1019.90,22174.00,124662.79,54428550.00,-1470150.00,1016.75
TATAMOTORS,12-Jul-2024,29-Aug-2024,1029.10,1034.00,1023.75,1025.85,1027.35,1025.85,1887.00,10673.73,5205750.00,14850.00,1016.75
TATAMOTORS,12-Jul-2024,26-Sep-2024,1033.55,1040.00,1030.00,1031.65,1030.00,1031.65,122.00,693.83,377850.00,14300.00,1016.75
TATAMOTORS,15-Jul-2024,25-Jul-2024,1020.10,1032.60,1020.05,1028.30,1028.30,1028.30,18399.00,104130.00,55741950.00,1313400.00,1024.45
TATAMOTORS,15-Jul-2024,29-Aug-2024,1027.60,1038.05,1027.10,1034.00,1033.70,1034.00,2101.00,11960.30,5279450.00,73700.00,1024.45
TATAMOTORS,15-Jul-2024,26-Sep-2024,1037.30,1043.75,1037.30,1040.40,1040.65,1040.40,183.00,1048.53,369050.00,-8800.00,1024.45
TATAMOTORS,16-Jul-2024,25-Jul-2024,1025.55,1033.25,1021.00,1023.40,1021.85,1023.40,16832.00,95028.76,54882300.00,-859650.00,1021.15
TATAMOTORS,16-Jul-2024,29-Aug-2024,1034.00,1039.00,1027.10,1029.30,1027.60,1029.30,3721.00,21112.91,5988950.00,709500.00,1021.15
TATAMOTORS,16-Jul-2024,26-Sep-2024,1039.00,1045.00,1034.00,1035.20,1034.00,1035.20,148.00,845.32,384450.00,15400.00,1021.15
TATAMOTORS,18-Jul-2024,25-Jul-2024,1024.65,1030.00,1009.45,1027.25,1028.35,1027.25,25364.00,142360.95,54609500.00,-272800.00,1024.55
TATAMOTORS,18-Jul-2024,29-Aug-2024,1028.45,1036.00,1015.50,1034.05,1035.00,1034.05,5469.00,30863.07,6851350.00,862400.00,1024.55
TATAMOTORS,18-Jul-2024,26-Sep-2024,1031.10,1042.00,1023.55,1040.05,1040.95,1040.05,258.00,1466.57,409750.00,25300.00,1024.55
TATAMOTORS,19-Jul-2024,25-Jul-2024,1025.00,1029.00,988.35,990.65,991.00,990.65,26784.00,148079.51,53493000.00,-1116500.00,990.00
TATAMOTORS,19-Jul-2024,29-Aug-2024,1031.40,1032.30,995.00,997.15,997.40,997.15,10793.00,60038.80,9607400.00,2756050.00,990.00
TATAMOTORS,19-Jul-2024,26-Sep-2024,1034.05,1035.00,1002.00,1003.25,1004.40,1003.25,459.00,2564.41,517550.00,107800.00,990.00
TATAMOTORS,22-Jul-2024,25-Jul-2024,989.00,1009.65,977.15,1005.20,1006.50,1005.20,38295.00,210476.71,46442000.00,-7051000.00,1003.15
TATAMOTORS,22-Jul-2024,29-Aug-2024,997.20,1015.90,984.00,1011.75,1012.95,1011.75,33003.00,182635.96,21142000.00,11534600.00,1003.15
TATAMOTORS,22-Jul-2024,26-Sep-2024,1001.55,1022.30,991.90,1018.05,1019.95,1018.05,556.00,3089.31,544500.00,26950.00,1003.15
TATAMOTORS,23-Jul-2024,25-Jul-2024,1008.70,1008.70,956.10,1002.05,1000.30,1002.05,48320.00,264623.98,32883950.00,-13558050.00,1001.80
TATAMOTORS,23-Jul-2024,29-Aug-2024,1011.00,1015.50,972.00,1008.70,1007.50,1008.70,41449.00,228669.95,35252800.00,14110800.00,1001.80
TATAMOTORS,23-Jul-2024,26-Sep-2024,1017.70,1021.95,976.50,1014.85,1014.10,1014.85,839.00,4639.60,592900.00,48400.00,1001.80
